Dataset,Event_Surname,"Major event","Temporal spread","Spatial spread",Date_start,Date_end,Date_series,Date_interval,Time_start,Time_end,"WGS84 Coordinates (DD)",LOC_name,City,Event_type,Commentaire,source(s),"Non trouvé (fichier Jules)"
Cancan,"Concert Angèle",,large,punctual,43798,43800,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Concert Ninho",,large,punctual,43631,,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Concert de Mylène Farmer",,large,punctual,43623,43638,"2019-06-07 ; 2019-06-08 ; 2019-06-11 ; 2019-06-12 ; 2019-06-14 ; 2019-06-15 ; 2019-06-18 ; 2019-06-19 ; 2019-06-22",,0.8333333333333334,0.999988425925926,"48.89532799672979, 2.229420794073532","La Defense Arena",Paris,Concert,,https://www.mylene.net/mylene/mylene-farmer-concerts-2019-paris-la-defense-arena.php,
Cancan,"Concert Hyphen Hyphen",,large,punctual,43630,,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Concert Take That",,large,punctual,43629,,,,0.8333333333333334,0.9791666666666667,"48.87066141419636, 2.347756346541948","Le Grand Rex",Paris,Concert,,,
Cancan,"Coupe du Monde football féminin - France-Norvege",,large,punctual,43628,,,,0.875,0.9583333333333334,"43.70554016701395, 7.192877894032341","Allianz Riviera",Nice,Sportif,,,
Cancan,"Concert Maroon 5",,large,punctual,43627,,,,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,,
Cancan,"Coupe du Monde football féminin - Angleterre-Ecosse",,large,punctual,43625,,,,0.75,0.8333333333333334,"43.70554016701395, 7.192877894032341","Allianz Riviera",Nice,Sportif,,,
Cancan,"Concert Daddy Yankee",,large,punctual,43624,,,,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,,
Cancan,"Concert K-Pop BTS",,large,punctual,43623,43624,,,0.8333333333333334,0.9791666666666667,"48.92462129531899, 2.3601537778960435","Stade de France",Paris,Concert,,,
