,LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
404,0102f81003169e9f,3G,790,40607,602280,2415080,2.3674880000000003,48.734219,2019/03/15,2019/06/22,ORLY
412,0102f8100317250a,3G,791,9482,599347,2432734,2.327605,48.892891999999996,2019/03/15,2019/06/22,GUY_MOQUET_METRO_L13
413,0102f810031769e2,3G,791,27106,602751,2427403,2.373966,48.844975,2019/03/15,2019/06/22,GARE_DE_LYON_RER_A
427,0102f81003fada86,3G,1018,55942,601257,2431026,2.3536330000000003,48.877541,2019/03/15,2019/06/22,PETITS_HOTELS
428,0102f81003fb0ad7,3G,1019,2775,601804,2428911,2.361077,48.858532000000004,2019/03/15,2019/06/22,MUSEE_PICASSO
429,0102f81003fb0bdc,3G,1019,3036,601795,2425906,2.3609419999999997,48.831524,2019/03/15,2019/06/22,LYCEE_CHASLES
431,0102f81003fb1a8b,3G,1019,6795,603690,2426470,2.386745,48.836585,2019/03/15,2019/06/22,GARE_BERCY_BIS
433,0102f81003fb1f38,3G,1019,7992,601647,2429312,2.35894,48.862136,2019/03/15,2019/06/22,CENTRAL_FT_BONDEVILLE_PARIS_INDOOR
434,0102f81003fb2924,3G,1019,10532,603073,2426666,2.378346,48.83835,2019/03/15,2019/06/22,POPB_INDOOR_ANNEXES
436,0102f81003fb4c2e,3G,1019,19502,603591,2429220,2.38542,48.861302,2019/03/15,2019/06/22,PLACE_METIVIER
437,0102f81003fb5342,3G,1019,21314,603916,2433176,2.389883,48.896853,2019/03/15,2019/06/22,CITE_DES_SCIENCES
438,0102f81003fb7565,3G,1019,30053,601443,2429019,2.35616,48.859503000000004,2019/03/15,2019/06/22,ARCHIVES
439,0102f81003fb78b8,3G,1019,30904,603030,2425245,2.37775,48.825579,2019/03/15,2019/06/22,MASSENA_CHEVALERET
440,0102f81003fba418,3G,1019,42008,601886,2431880,2.362207,48.885215,2019/03/15,2019/06/22,PLACE_DE_LA_CHAPELLE
