LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
0102f81003fbc630,3G,1019,50736,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
8102f810016f1908,4G,1,24058120,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81016111108,3G,5649,4360,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f81016116250,3G,5649,25168,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016f190a,4G,1,24058122,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
8102f810016e910b,4G,1,24023307,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
0102f81003fb98e1,3G,1019,39137,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f8101611c8d8,3G,5649,51416,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
0102f8101611e15e,3G,5649,57694,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
0102f81003fdfd80,3G,1021,64896,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,MM_MAISON_MUTUAL_EVT_2013_BKP_S2
8102f810016e9106,4G,1,24023302,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016f1604,4G,1,24057348,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
8102f810016f190c,4G,1,24058124,601036,2427828,2.350614,48.8488,2019/03/15,2019/05/04,PARADIS_LATIN
0102f81003fbdc43,3G,1019,56387,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81003fb3a98,3G,1019,15000,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,OSM_MUTUALITE_INDOOR
0102f810161141af,3G,5649,16815,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016e9105,4G,1,24023301,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
0102f8101611110a,3G,5649,4362,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f8101611002b,3G,5649,43,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
0102f81016114550,3G,5649,17744,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f8101611b195,3G,5649,45461,600535,2428390,2.343792,48.853852,2019/03/15,2019/06/22,SEINE_ST_MICHEL
0102f81016113d8a,3G,5649,15754,600535,2428390,2.343792,48.853852,2019/03/15,2019/06/22,SEINE_ST_MICHEL
0102f8101611acf6,3G,5649,44278,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
8102f810016e910a,4G,1,24023306,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
0102f81003fb32f9,3G,1019,13049,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,OSM_MUTUALITE_INDOOR
0102f81016110058,3G,5649,88,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
0102f81016114dcb,3G,5649,19915,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
0102f81003fb4bba,3G,1019,19386,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f8101611e943,3G,5649,59715,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f81003fb7e93,3G,1019,32403,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81003fbc1e5,3G,1019,49637,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
8102f810016ec701,4G,1,24037121,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f81003fbb6f9,3G,1019,46841,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,OSM_MUTUALITE_INDOOR
8102f810016ec708,4G,1,24037128,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f81016110059,3G,5649,89,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016f1608,4G,1,24057352,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
0102f81003fb49dd,3G,1019,18909,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81016115fe0,3G,5649,24544,600535,2428390,2.343792,48.853852,2019/03/15,2019/06/22,SEINE_ST_MICHEL
8102f810016f1904,4G,1,24058116,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81016110057,3G,5649,87,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016ec702,4G,1,24037122,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f8101611990e,3G,5649,39182,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f81003fbee6c,3G,1019,61036,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f8101611898c,3G,5649,35212,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f810161163f8,3G,5649,25592,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f81016116ba5,3G,5649,27557,600535,2428390,2.343792,48.853852,2019/03/15,2019/06/22,SEINE_ST_MICHEL
0102f81003fb3c7c,3G,1019,15484,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81016117ea9,3G,5649,32425,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
8102f810016f1602,4G,1,24057346,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
